关键字	要干嘛
地名,高铁,坐车	坐车
地名,换乘	坐车
地名,高铁,上三楼	坐车
地名,高铁,坐车	坐车
地名,换乘	坐车
地名,高铁,上三楼	坐车
坐车	坐车
坐车	坐车
坐车	坐车
这是,坐车	坐车
城轨,坐车	坐车
这个,坐车	坐车
地名,坐车	坐车
坐车,这个	坐车
坐车	坐车
坐车	坐车
坐车	坐车
高铁	坐车
进站,去,地名	坐车
上,高铁	坐车
高铁,进口,进去	坐车
地名,高铁,坐车	坐车
上三楼	坐车
地名,换乘	坐车
地名,高铁,上三楼	坐车
地名,上三楼	坐车
上三楼	坐车
上三楼	坐车
上三楼	坐车
3楼,上去	坐车
上去,三楼	坐车
到3楼	坐车
到3楼	坐车
到3楼	坐车
上去,3楼	坐车
西出口,出发厅	坐车
出发厅	坐车
西出口,出发厅	坐车
东出口,出发厅	坐车
东出口,出发厅	坐车
东出口,出发厅	坐车
东出发平台	坐车
出发平台,过去	坐车
出发平台	坐车
出发平台,进站	坐车
进站	坐车
进站,去,地名	坐车
进站口	坐车
进站口	坐车
进站口	坐车
进站口,进去	坐车
进站	坐车
进站	坐车
去,候车室,进站口	坐车
进站	坐车
进站	坐车
3层	坐车
上去,三层	坐车
3层	坐车
到,3层	坐车
这个,3层	坐车
上去,3层	坐车
东出发平台	坐车
西出发平台	坐车
号桥,出口	接人
地名,过来,高铁,到达口	接人
地名,过来,高铁,到达口	接人
地名,过来,高铁,到达口	接人
地名,过来,高铁,到达口	接人
地名,过来,高铁,到达口	接人
时间,到,轻轨,到达口	接人
地名,高铁,哪里,出来	接人
高铁,这里,出站	接人
车次,哪个口,出	接人
停车场,哪边	接人
北停车场	接人
停车场,哪	接人
南停车场	接人
地名,过来,高铁,到达口	接人
车次,出站口,哪	接人
车次,哪个,出站口	接人
高铁,这里,出站	接人
地名,高铁,哪,出站口	接人
轻轨,哪,到达口	接人
南站北路,哪里	出站
南站北路,哪	出站
南站北路,怎么走	出站
南站北路,怎么走	出站
出去,什么,东广场	出站
东广场,哪	出站
西广场,怎么走	出站
出站口,哪	出站
出站	出站
哪,出站口	出站
出去,什么,东门	出站
出去,什么,西门	出站
东出口,怎么走	出站
东出口,哪	出站
西出口,怎么走	出站
西出口,哪	出站
身份证,忘带,通行证,驾驶证	人工窗口
为什么,取票,取不出来	人工窗口
地名,取不出来,票	人工窗口
为什么,身份证,取不出来,票	人工窗口
取票,取不出来	人工窗口
取不出来,票,哪,找,柜台	人工窗口
身份证,小孩票,取不出来	人工窗口
柜台	人工窗口
这个,高铁票,改签,哪	人工窗口
人工,人工售票	人工窗口
人工售票	人工窗口
人工,服务台,售票	人工窗口
人工,怎么走	人工窗口
人工,怎么	人工窗口
人工售票	人工窗口
人工售票,什么,地方	人工窗口
改签	人工窗口
哪,改签	人工窗口
哪里,改签	人工窗口
哪,改签	人工窗口
哪,改签	人工窗口
地名,车,错过了,哪,改签	人工窗口
取不了,高铁票,票	人工窗口
护照,取票,设备	取票
哪,取票	取票
哪,取票	取票
去,取票	取票
地名,哪,取票	取票
取票,在,哪里	取票
哪,取票	取票
地名,轻轨,过来,怎么,打印车票	取票
高铁票,哪,取票	取票
地名,城轨,过来,怎么,取票	取票
不是,身份证,的事,小孩子的,那个	咨询
身份证,取出来,的,票,怎么,是,这个	咨询
身份证,忘带,能用,驾驶证,取票	咨询
去,地名,城际,是不是,时间,一班	咨询
直接,在,地名,买	咨询
地名,轻轨,能,这,买票	咨询
去,地名,城轨,有票	咨询
这,坐,汽车,去,地名,多长时间	咨询
高铁票,还,有没	咨询
这,买,高铁票,点开,没反应	咨询
手机,买不了,高铁票	咨询
高铁票,打印,出,是,这个	咨询
买票,去,人工,服务,那个,机器	咨询
网上,没法,买票,城际,车	咨询
时间,地名,到,地名,从,地名,几点钟	咨询
出租车,到,市内地名,多少钱	咨询
吃,吃的	用餐
吃的,就餐	用餐
就餐,面条	用餐
肯德基,哪	用餐
麦当劳,哪	用餐
买票,去,哪买	买票
去,哪边,买票	买票
去哪,买票	买票
地名,到哪,买票	买票
买票,去,地名	买票
地名,哪里,去,买票	买票
去,哪里,买票	买票
买票	买票
哪,买票	买票
哪,买票	买票
轻轨,在,地名,哪,买票	买票
买高铁票,哪里,买	买票
订高铁票,哪里,订	买票
高铁站,售票大厅	买票
地名	坐大巴
地名,哪,车	坐大巴
地名,车	坐大巴
大巴	坐大巴
汽车站,哪里	坐大巴
去,地名,轻轨	坐城轨
到,地名,哪,坐车	坐城轨
地名,在,哪个,方向	坐城轨
坐,轻轨,在哪坐	坐城轨
轻轨,在,地名,哪,买票	坐城轨
轻轨,去,地名,在哪坐	坐城轨
去,地名,轻轨,在哪坐	坐城轨
城轨,入口,在哪	坐城轨
城轨,候车室,在哪,去,地名	坐城轨
到,地名,城轨,在哪,坐车	坐城轨
到,江门,城轨,怎么走	坐城轨
坐,2号线,在哪	坐地铁
2好,地铁站,入口,怎么走	坐地铁
2号地铁,在,这儿,走吗	坐地铁
2号,地铁站,在哪	坐地铁
2号线,地铁,在哪	坐地铁
2号线,地铁,怎么走	坐地铁
2号线,从,哪儿,坐	坐地铁
7号线,哪里,做	坐地铁
7号,地铁站,入库,怎么走	坐地铁
7号地铁,这儿,走吗	坐地铁
